CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,2007396,24,2018,6,2018,6,11,2018,6,11,200,P
GALIC,2007462,24,2018,6,2018,6,1,2018,6,1,-134.13,S
GALIC,2007466,24,2018,6,2018,6,5,2018,6,5,-344.27,S
GALIC,2007640,24,2018,6,2018,6,11,2018,6,11,50,P
GALIC,2007750,24,2018,6,2018,6,1,2018,6,1,-164.81,S
GALIC,2007849,24,2018,6,2018,6,5,2018,6,5,-400,S
GALIC,2007895,24,2018,6,2018,6,27,2018,6,27,-4147.36,S
GALIC,2008006,24,2018,6,2018,6,6,2018,6,6,200,P
GALIC,2008020,24,2018,6,2018,6,28,2018,6,28,-8270.34,S
GALIC,2008046,24,2018,6,2018,6,5,2018,6,5,-595.79,S
GALIC,2008264,24,2018,6,2018,6,1,2018,6,1,-24.54,S
GALIC,2008331,24,2018,6,2018,6,1,2018,6,1,-1500,S
GALIC,2008546,24,2018,6,2018,6,15,2018,6,15,-477.48,S
GALIC,2008565,24,2018,6,2018,6,13,2018,6,13,50,P
GALIC,2008874,24,2018,6,2018,6,13,2018,6,13,70,P
GALIC,2008963,24,2018,6,2018,6,13,2018,6,13,50,P
GALIC,2008995,24,2018,6,2018,6,15,2018,6,15,25,P
GALIC,2008995,24,2018,6,2018,6,1,2018,6,1,25,P
GALIC,2009186,24,2018,6,2018,6,20,2018,6,20,-31.89,S
GALIC,2009341,24,2018,6,2018,6,1,2018,6,1,-271.87,S
GALIC,2009599,24,2018,6,2018,6,1,2018,6,1,-73.07,S
GALIC,2009700,24,2018,6,2018,6,27,2018,6,27,-5310.96,S
GALIC,2009840,24,2018,6,2018,6,15,2018,6,15,-215.72,S
GALIC,2010109,24,2018,6,2018,6,1,2018,6,1,-449.14,S
GALIC,2010138,24,2018,6,2018,6,25,2018,6,25,-814.6,S
GALIC,2010301,24,2018,6,2018,6,21,2018,6,21,-36.64,S
GALIC,2010500,24,2018,6,2018,6,18,2018,6,18,-5430.06,S
GALIC,2010541,24,2018,6,2018,6,15,2018,6,15,-281.26,S
GALIC,2010587,24,2018,6,2018,6,8,2018,6,8,55,P
GALIC,2010615,24,2018,6,2018,6,1,2018,6,1,-600,S
GALIC,2010647,24,2018,6,2018,6,22,2018,6,22,-103.48,S
GALIC,2010813,24,2018,6,2018,6,20,2018,6,20,-250,S
GALIC,2010951,24,2018,6,2018,6,1,2018,6,1,-347.73,S
GALIC,2011018,24,2018,6,2018,6,1,2018,6,1,-2501.15,S
GALIC,2011146,24,2018,6,2018,6,5,2018,6,5,-762.55,S
GALIC,2011240,24,2018,6,2018,6,15,2018,6,19,-17121.8,S
GALIC,2011298,24,2018,6,2018,6,28,2018,6,28,200,P
GALIC,2011496,24,2018,6,2018,6,8,2018,6,8,-2000,S
GALIC,2011607,24,2018,6,2018,6,10,2018,6,11,-340.53,S
GALIC,2011873,24,2018,6,2018,6,7,2018,6,7,-254.09,S
GALIC,2012248,24,2018,6,2018,6,20,2018,6,20,200,P
GALIC,2012484,24,2018,6,2018,6,12,2018,6,12,-1025.64,S
GALIC,2012859,24,2018,6,2018,6,5,2018,6,5,-615,S
GALIC,2012927,24,2018,6,2018,6,11,2018,6,11,200,P
GALIC,2013069,24,2018,6,2018,6,20,2018,6,20,25,P
GALIC,2013069,24,2018,6,2018,6,7,2018,6,7,25,P
GALIC,2013340,24,2018,6,2018,6,27,2018,6,27,-839.64,S
GALIC,2013361,24,2018,6,2018,6,15,2018,6,15,-1000,S
GALIC,2013571,24,2018,6,2018,6,17,2018,6,18,-567.22,S
GALIC,2013780,24,2018,6,2018,6,27,2018,6,27,-3066.7,S
GALIC,2013889,24,2018,6,2018,6,26,2018,6,26,40,P
GALIC,2013889,24,2018,6,2018,6,18,2018,6,18,40,P
GALIC,2013920,24,2018,6,2018,6,1,2018,6,1,-478.46,S
GALIC,2013991,24,2018,6,2018,6,1,2018,6,1,-1629.71,S
GALIC,2014009,24,2018,6,2018,6,15,2018,6,15,-372.19,S
GALIC,2014067,24,2018,6,2018,6,20,2018,6,20,100,P
GALIC,2014067,24,2018,6,2018,6,7,2018,6,7,100,P
GALIC,2014335,24,2018,6,2018,6,27,2018,6,27,-1205.95,S
GALIC,2014577,24,2018,6,2018,6,5,2018,6,5,176.8,P
GALIC,2014844,24,2018,6,2018,6,5,2018,6,5,-3213.38,S
GALIC,2014905,24,2018,6,2018,6,5,2018,6,5,-61.36,S
GALIC,2014955,24,2018,6,2018,6,5,2018,6,5,-6448.98,S
GALIC,2014983,24,2018,6,2018,6,20,2018,6,20,200,P
GALIC,2014983,24,2018,6,2018,6,6,2018,6,6,200,P
GALIC,2014988,24,2018,6,2018,6,1,2018,6,1,-191.6,S
GALIC,2015057,24,2018,6,2018,6,11,2018,6,11,100,P
GALIC,2015213,24,2018,6,2018,6,27,2018,6,27,-2569.87,S
GALIC,2015439,24,2018,6,2018,6,25,2018,6,25,100,P
GALIC,2015439,24,2018,6,2018,6,15,2018,6,15,100,P
GALIC,2015439,24,2018,6,2018,6,8,2018,6,8,100,P
GALIC,2015439,24,2018,6,2018,6,4,2018,6,4,100,P
GALIC,2015461,24,2018,6,2018,6,20,2018,6,20,50,P
GALIC,2015461,24,2018,6,2018,6,7,2018,6,7,50,P
GALIC,2015477,24,2018,6,2018,6,29,2018,6,29,25,P
GALIC,2015477,24,2018,6,2018,6,18,2018,6,18,25,P
GALIC,2015624,24,2018,6,2018,6,1,2018,6,1,-399.26,S
GALIC,2016110,24,2018,6,2018,6,27,2018,6,27,-1507.45,S
GALIC,2016128,24,2018,6,2018,6,26,2018,6,26,100,P
GALIC,2016128,24,2018,6,2018,6,12,2018,6,12,100,P
GALIC,2016204,24,2018,6,2018,6,1,2018,6,1,-2164.02,S
GALIC,2016345,24,2018,6,2018,6,5,2018,6,5,-421.08,S
GALIC,2016383,24,2018,6,2018,6,7,2018,6,7,-175,S
GALIC,2016397,24,2018,6,2018,6,6,2018,6,6,200,P
GALIC,2016444,24,2018,6,2018,6,27,2018,6,27,-1489.99,S
GALIC,2016669,24,2018,6,2018,6,25,2018,6,25,25,P
GALIC,2016669,24,2018,6,2018,6,12,2018,6,12,25,P
GALIC,2016689,24,2018,6,2018,6,1,2018,6,1,-2929.95,S
GALIC,2016724,24,2018,6,2018,6,15,2018,6,15,-186.91,S
GALIC,2016726,24,2018,6,2018,6,5,2018,6,5,-3609.95,S
GALIC,2016765,24,2018,6,2018,6,15,2018,6,15,-111.86,S
GALIC,2016767,24,2018,6,2018,6,18,2018,6,18,530,P
GALIC,2016767,24,2018,6,2018,6,4,2018,6,4,530,P
GALIC,2016847,24,2018,6,2018,6,27,2018,6,27,50,P
GALIC,2016847,24,2018,6,2018,6,22,2018,6,22,50,P
GALIC,2016847,24,2018,6,2018,6,1,2018,6,1,50,P
GALIC,2016981,24,2018,6,2018,6,27,2018,6,27,600,P
GALIC,2016981,24,2018,6,2018,6,13,2018,6,13,600,P
GALIC,2016981,24,2018,6,2018,6,12,2018,6,12,-37202.8,S
GALIC,2017081,24,2018,6,2018,6,22,2018,6,22,-1000,S
GALIC,2017711,24,2018,6,2018,6,5,2018,6,5,-272.39,S
GALIC,2017740,24,2018,6,2018,6,21,2018,6,21,120,P
GALIC,2017850,24,2018,6,2018,6,15,2018,6,15,-194.95,S
GALIC,2018090,24,2018,6,2018,6,7,2018,6,7,-1133.2,S
GALIC,2018156,24,2018,6,2018,6,8,2018,6,8,500,P
GALIC,2018604,24,2018,6,2018,6,14,2018,6,14,100,P
GALIC,2018604,24,2018,6,2018,6,1,2018,6,1,100,P
GALIC,2018618,24,2018,6,2018,6,22,2018,6,22,-9892.43,S
GALIC,2018700,24,2018,6,2018,6,15,2018,6,15,-436.16,S
GALIC,2018715,24,2018,6,2018,6,1,2018,6,1,-84.44,S
GALIC,2018753,24,2018,6,2018,6,27,2018,6,27,85,P
GALIC,2018753,24,2018,6,2018,6,21,2018,6,21,85,P
GALIC,2018753,24,2018,6,2018,6,6,2018,6,6,85,P
GALIC,2018919,24,2018,6,2018,6,25,2018,6,25,-168.82,S
GALIC,2018949,24,2018,6,2018,6,22,2018,6,22,50,P
GALIC,2018949,24,2018,6,2018,6,7,2018,6,7,50,P
GALIC,2018965,24,2018,6,2018,6,7,2018,6,7,-1140.69,S
GALIC,2019006,24,2018,6,2018,6,25,2018,6,25,600,P
GALIC,2019006,24,2018,6,2018,6,12,2018,6,12,600,P
GALIC,2019520,24,2018,6,2018,6,19,2018,6,19,40,P
GALIC,2019520,24,2018,6,2018,6,6,2018,6,6,160,P
GALIC,2019520,24,2018,6,2018,6,5,2018,6,5,40,P
GALIC,2019524,24,2018,6,2018,6,19,2018,6,19,27.08,P
GALIC,2019524,24,2018,6,2018,6,6,2018,6,6,108.32,P
